target,feature,weight
y,constant,649.3569864735473
y,monumental,644.6221124899093
y,olimpico,644.6221124899093
y,planejados,641.6277021397837
y,santo,633.5799200634938
y,cinema,625.21611383665
y,aparelhos,616.4226740246231
y,country,610.487332255153
y,garagem,604.8902989204134
y,tambem,598.694986382674
y,flores,594.239576377171
y,americanas,578.4552352495666
y,burguer,577.958601179067
y,114,565.737953238422
y,lustre,563.996547424118
y,restaurantes,561.7147566729777
y,banrisul,555.5600411143669
y,integrado,554.183932715423
y,comodidade,551.6454278380006
y,oportunidade,546.811868256249
y,militar,545.6936167707282
y,farmacias,536.6787093733874
y,santander,533.786553054786
y,hs,531.1925357881119
y,wallig,528.6765648271067
y,elevadores,517.6387607344441
y,estadual,517.3890080492129
y,dr,511.0004670717062
y,femina,501.80315491199144
y,souza,495.607226676977
y,entrada,493.31927187210385
y,tv,487.9452806688096
y,04,481.2425969993201
y,luiz,476.8374699838678
y,26,474.9912934420863
y,emprega,472.60860586410854
y,cabral,471.9556809836249
y,gabinete,466.8345488467603
y,varias,464.8054280729266
y,condominial,460.6389667450567
y,bicicletarios,459.6471973733969
y,minimercado,453.12004482890916
y,espera,451.6686386044312
y,tabuao,450.3416347981656
y,embutidos,450.32248961484584
y,padaria,449.3825811257557
y,sertorio,448.89090176982427
y,hospitalar,446.5469232837299
y,iguatemi,439.89631671091774
y,carrefour,436.6403871329421
y,outubro,432.0636059056578
y,suite,430.5678414872491
y,hidromassagem,429.5064186415475
y,97,423.91612605909177
y,circulacao,417.30672583667183
y,cada,416.6846890980378
y,historico,416.27549544566136
y,itau,415.89234428928467
y,dormitorio,415.5944566206672
y,republica,410.8681918760376
y,reformado,410.6780398218543
y,carro,409.87068370888665
y,piratini,406.0289978389312
y,piscinas,405.96869219753717
y,99,403.5183090715436
y,condicionado,403.242213508659
y,enxuto,402.6711317645095
y,coifa,401.38374511580605
y,parque,398.8034871925893
y,pessoa,396.4161903996137
y,piscina,387.0083715854853
y,ventos,385.8489083029972
y,augusto,383.7680533299572
y,embutida,378.36472869881254
y,03,377.3936379956576
y,duplex,370.3934071268958
y,skate,369.910930969083
y,setembro,366.11695923904335
y,paseo,363.81703036886756
y,110,362.10521025795424
y,barra,359.6747548760177
y,13,358.8817768750887
y,estacionamento,356.5070095977535
y,pereira,352.78652466049243
y,colegio,349.4488783225097
y,sob,347.1326507069607
y,medida,347.1326507069607
y,brasil,343.19257529064635
y,descoberta,338.5534556276907
y,localizacao,332.97969088974787
y,house,332.6587932165712
y,dormitorios,330.0810526982532
y,escobar,328.8176618460857
y,wenceslau,328.8176618460857
y,universidade,326.44956984462624
y,geladeira,325.70769350454066
y,118,314.6557522883886
y,instituto,308.7783594718494
y,cardiologia,308.7783594718494
y,menino,296.2789531877788
